Date,Open,High,Low,Close,Adj Close,Volume
2020-02-17,58.169998,59.020000,57.180000,57.520000,56.081036,5387100
2020-02-24,56.369999,57.410000,53.360001,54.849998,53.477829,13174600
2020-03-02,53.740002,55.349998,50.299999,51.400002,50.114140,17386800
2020-03-09,49.310001,50.810001,43.450001,47.669998,46.477448,17137300
2020-03-16,43.000000,46.950001,35.070000,35.779999,34.884899,31744000
2020-03-23,32.669998,41.580002,29.500000,39.310001,38.326595,35404600
2020-03-30,37.959999,39.500000,33.860001,34.590000,33.724670,15979000
2020-04-06,36.630001,41.669998,36.369999,40.759998,39.740318,13289600
2020-04-13,40.000000,41.509998,36.939999,39.970001,38.970081,14192600
2020-04-20,40.810001,42.330002,38.439999,39.950001,38.950581,12131800
2020-04-27,40.509998,44.919998,40.029999,42.099998,41.046795,11221300
2020-05-04,40.520000,41.689999,39.849998,40.590000,39.574570,9487200
2020-05-11,40.180000,41.750000,36.279999,36.439999,35.528385,31670300
2020-05-18,36.709999,38.040001,35.650002,36.720001,35.801388,17836000
2020-05-25,37.889999,42.009998,37.439999,41.830002,40.783554,17059800
2020-06-01,42.459999,47.650002,42.060001,47.610001,46.418957,16490500
2020-06-08,46.810001,47.000000,40.610001,42.330002,41.271042,13947000
2020-06-15,41.220001,45.080002,40.790001,44.689999,43.571999,9740900
2020-06-22,44.590000,46.230000,43.590000,45.090000,43.961994,10333900
2020-06-29,45.660000,48.720001,44.980000,47.759998,46.565197,9198800
2020-07-06,49.060001,49.439999,47.459999,48.389999,47.179440,7614800
2020-07-13,47.540001,47.720001,45.619999,47.279999,46.097210,7235100
2020-07-20,49.160000,52.150002,48.970001,50.250000,48.992908,11701000
2020-07-27,48.459999,49.099998,46.169998,46.750000,45.580467,12677900
2020-08-03,45.709999,47.250000,45.400002,46.529999,45.365971,8459900
2020-08-10,47.099998,47.830002,45.959999,46.669998,45.502464,6800400
2020-08-17,46.200001,48.590000,45.560001,48.400002,47.189190,6049700
2020-08-24,49.970001,51.270000,49.049999,51.090000,49.811893,6922800
2020-08-31,49.980000,51.919998,49.310001,50.099998,48.846661,6130700
2020-09-07,49.560001,50.270000,48.750000,49.330002,48.095924,4900700
2020-09-14,48.700001,50.599998,48.490002,48.990002,47.764431,5097700
2020-09-21,48.259998,48.669998,46.619999,48.630001,47.413437,5501900
2020-09-28,48.900002,52.180000,48.410000,51.770000,50.474884,6711600
2020-10-05,52.240002,56.680000,52.160000,56.220001,54.813557,6567000
2020-10-12,55.000000,56.709999,54.349998,56.000000,54.599060,5598000
2020-10-19,56.750000,60.380001,56.509998,60.360001,58.849991,9323900
2020-10-26,59.480000,60.230000,56.860001,57.439999,56.003033,10049500
2020-11-02,57.970001,63.970001,57.919998,63.450001,61.862690,8427500
2020-11-09,66.889999,68.019997,64.930000,67.919998,66.220863,8829300
2020-11-16,69.050003,69.470001,66.190002,66.500000,64.836380,7094400
2020-11-23,67.169998,70.000000,66.279999,67.820000,66.123360,5595500
2020-11-30,67.669998,70.750000,67.309998,67.500000,65.811371,7040500
2020-12-07,67.089996,68.900002,65.849998,66.760002,65.089882,7654700
2020-12-14,66.769997,70.949997,66.330002,70.440002,68.677818,8610100
2020-12-21,67.889999,70.080002,67.379997,69.550003,67.810089,3243000
2020-12-28,70.260002,72.440002,69.620003,72.260002,70.452293,3373100
2021-01-04,72.290001,72.910004,69.599998,72.910004,71.086037,5255100
2021-01-11,72.500000,75.900002,71.970001,74.879997,73.006744,6322000
2021-01-18,76.120003,76.120003,71.930000,74.250000,72.392509,5609800
2021-01-25,74.680000,74.989998,68.790001,72.099998,70.296295,12563000
2021-02-01,75.809998,81.970001,75.750000,81.949997,79.899872,8284300
2021-02-08,81.580002,83.260002,80.199997,83.040001,80.962608,6513700
2021-02-15,84.699997,84.699997,80.820000,82.709999,80.640869,5152300
2021-02-22,81.769997,83.599998,77.459999,79.139999,77.160172,7204500
2021-03-01,80.930000,83.930000,80.010002,82.279999,80.221619,7024400
2021-03-08,81.459999,84.000000,80.660004,80.769997,78.749390,7018200
2021-03-15,80.410004,83.059998,77.519997,77.800003,75.853699,8282900
2021-03-22,77.910004,80.839996,76.739998,79.459999,77.472168,5887200
2021-03-29,78.379997,81.220001,76.910004,77.739998,75.795197,6166400
2021-04-05,76.669998,76.900002,72.389999,73.760002,71.914764,6639900
2021-04-12,70.250000,72.010002,68.809998,71.809998,70.013542,11364400
2021-04-19,70.709999,71.000000,67.730003,69.430000,67.693085,10028700
2021-04-26,70.360001,74.639999,69.389999,70.279999,68.521820,10311600
2021-05-03,70.699997,72.059998,68.500000,71.389999,69.604050,7553600
2021-05-10,71.800003,72.000000,68.360001,70.080002,68.326820,5940300
2021-05-17,71.449997,76.769997,70.940002,76.440002,74.527718,7598500
2021-05-24,76.070000,77.169998,73.000000,76.529999,74.615471,6753700
2021-05-31,76.709999,77.440002,75.510002,76.839996,74.917709,2932500
2021-06-07,76.570000,77.620003,76.300003,77.459999,75.522202,4073400
2021-06-14,76.529999,77.480003,74.339996,74.419998,72.558250,6236800
2021-06-21,75.019997,76.250000,74.080002,74.900002,73.026245,6941300
2021-06-28,75.000000,75.330002,71.989998,73.150002,71.320030,10316400
2021-07-05,74.980003,74.980003,72.500000,73.529999,71.943130,6094200
2021-07-12,72.930000,75.239998,72.239998,74.589996,72.980255,4450400
2021-07-19,72.589996,72.629997,68.500000,69.860001,68.352341,6026300
2021-07-26,69.800003,71.620003,69.099998,70.570000,69.047012,4719100
2021-08-02,70.949997,75.870003,70.629997,73.959999,72.363853,5770400
2021-08-09,74.459999,76.820000,74.209999,76.589996,74.937096,4199500
2021-08-16,76.260002,76.790001,74.379997,76.739998,75.083855,6503800
2021-08-23,76.940002,78.800003,76.879997,77.930000,76.248177,7362600
2021-08-30,78.400002,79.389999,76.620003,76.639999,74.986023,9831100
2021-09-06,76.750000,77.750000,75.419998,75.449997,73.821701,6054700
2021-09-13,76.199997,76.709999,73.120003,74.199997,72.598671,10852300
2021-09-20,72.639999,75.019997,72.099998,73.650002,72.060547,6991200
2021-09-27,74.410004,74.680000,71.800003,73.709999,72.119247,10434900
2021-10-04,73.330002,73.830002,72.040001,72.699997,71.131042,4757800
2021-10-11,73.669998,76.419998,72.389999,75.760002,74.125015,12053600
2021-10-18,75.010002,78.430000,74.949997,77.540001,75.866600,7893500
2021-10-25,77.610001,77.639999,71.610001,71.910004,70.358101,8341900
2021-11-01,73.379997,73.980003,70.919998,71.019997,69.487305,8558500
2021-11-08,71.400002,72.290001,71.059998,71.750000,70.201546,7025700
2021-11-15,71.839996,72.339996,69.190002,71.980003,70.426590,7130200
2021-11-22,70.860001,70.900002,66.510002,66.879997,65.436646,5660000
2021-11-29,67.589996,68.300003,65.339996,66.269997,64.839813,10234100
2021-12-06,66.099998,68.400002,65.019997,65.339996,63.929886,7548900
2021-12-13,65.360001,66.129997,62.849998,63.389999,62.021969,8476900
2021-12-20,62.070000,64.019997,61.349998,63.250000,61.884991,3808100
2021-12-27,63.580002,65.580002,63.250000,65.070000,63.665714,4326900
2022-01-03,67.059998,70.739998,65.980003,70.589996,69.066582,7698600
2022-01-10,70.610001,72.199997,69.470001,71.730003,70.181984,8452400
2022-01-17,70.800003,71.529999,68.650002,68.930000,67.442413,6983100
2022-01-24,66.639999,68.230003,64.000000,65.459999,64.047302,8931300
2022-01-31,66.120003,70.160004,66.120003,68.870003,67.383705,6003200
2022-02-07,66.949997,69.870003,65.980003,66.570000,65.133339,9036000
2022-02-14,65.510002,69.120003,65.510002,66.949997,65.505142,5988800
2022-02-21,66.500000,68.199997,62.020000,66.519997,65.084412,5362600
2022-02-28,64.430000,64.809998,57.049999,57.240002,56.004696,17493900
2022-03-07,55.669998,59.689999,54.250000,56.869999,55.642677,15514400
2022-03-14,58.910000,62.970001,58.279999,62.880001,61.522976,9430500
2022-03-21,62.660000,63.560001,59.970001,60.279999,58.979088,9455400
2022-03-28,59.869999,63.259998,59.619999,62.919998,61.562111,9273500
2022-04-04,68.989998,70.680000,62.090000,63.119999,61.757793,12290800
2022-04-11,62.220001,62.509998,58.709999,58.910000,57.638653,7377500
2022-04-18,56.259998,56.970001,52.900002,55.090000,53.901093,19774500
2022-04-25,55.110001,56.599998,55.060001,55.209999,54.018501,12473600
2022-05-02,55.630001,56.230000,51.110001,52.040001,50.916916,11681900
2022-05-09,51.759998,54.259998,50.610001,53.119999,51.973606,14408000
2022-05-16,53.049999,54.740002,52.000000,53.799999,53.241402,9769900
2022-05-23,53.119999,59.110001,52.919998,58.939999,58.328033,13682800
2022-05-30,57.689999,58.980000,56.820000,58.340000,57.734264,10562400
2022-06-06,58.820000,58.860001,54.869999,55.369999,54.795101,9841300
2022-06-13,54.090000,54.389999,51.040001,53.480000,52.924725,9958300
2022-06-20,54.230000,57.849998,54.230000,57.810001,57.209770,8411800
2022-06-27,57.599998,57.889999,53.650002,55.509998,54.933647,7522400
2022-07-04,54.669998,59.840000,54.240002,59.759998,59.139519,6940800
2022-07-11,58.889999,59.450001,56.419998,58.000000,57.397797,7597500
2022-07-18,57.180000,58.959999,56.009998,58.610001,58.001461,7791000
2022-07-25,59.000000,63.110001,58.470001,62.799999,62.147957,6814200
2022-08-01,62.270000,63.700001,61.310001,62.810001,62.157856,6848200
2022-08-08,64.260002,66.220001,62.799999,66.169998,65.482964,5693800
2022-08-15,65.849998,66.480003,62.779999,63.049999,62.395363,5643800
2022-08-22,61.689999,63.299999,61.000000,61.000000,60.366646,3836400
2022-08-29,60.480000,63.320000,60.400002,61.980000,61.336472,5576400
2022-09-05,62.500000,64.650002,61.520000,64.449997,63.780823,3573100
2022-09-12,64.699997,67.879997,64.410004,64.919998,64.245941,11826700
2022-09-19,65.330002,66.500000,58.709999,58.970001,58.357727,9157500
2022-09-26,58.389999,58.970001,56.099998,58.419998,57.813435,9118900
2022-10-03,58.139999,60.700001,57.139999,57.450001,56.853508,5458200
2022-10-10,57.700001,59.410000,55.220001,57.970001,57.368107,7207700
2022-10-17,59.000000,60.799999,58.790001,60.150002,59.525475,6769700
2022-10-24,60.180000,61.790001,59.290001,61.450001,60.811977,8352400
2022-10-31,61.919998,64.110001,60.980000,63.110001,62.454739,5520000
2022-11-07,63.700001,68.820000,63.669998,68.440002,67.729401,8397900
2022-11-14,67.669998,70.680000,67.320000,67.889999,67.185112,6338600
2022-11-21,67.250000,69.830002,67.010002,69.519997,68.798180,3013600
2022-11-28,69.080002,70.769997,67.599998,68.199997,67.491890,7187100
2022-12-05,67.930000,69.029999,67.320000,68.699997,67.986694,6731300
2022-12-12,68.730003,70.559998,67.610001,68.900002,68.184624,5564400
2022-12-19,69.019997,70.330002,66.230003,66.839996,66.146011,6307800
2022-12-26,67.500000,68.720001,67.300003,68.410004,67.699715,2959800
2023-01-02,69.290001,69.330002,66.500000,67.400002,66.700195,3988500
2023-01-09,67.589996,67.959999,65.230003,67.519997,66.818947,5760300
2023-01-16,66.949997,70.489998,64.769997,70.489998,69.758110,6037800
2023-01-23,70.320000,71.760002,65.059998,65.769997,65.087120,8968200
2023-01-30,66.099998,67.980003,64.449997,67.480003,66.779373,10533700
2023-02-06,66.639999,68.459999,66.070000,67.970001,67.264282,5169000
2023-02-13,67.949997,69.900002,67.629997,69.430000,68.709122,6448400
2023-02-20,68.860001,69.290001,66.650002,66.830002,66.136116,4460400
2023-02-27,67.529999,67.809998,66.000000,67.720001,67.016876,6527700
2023-03-06,68.529999,68.809998,64.010002,64.419998,63.751137,7657700
2023-03-13,63.220001,65.019997,61.049999,63.150002,62.494328,9092200
2023-03-20,63.049999,65.440002,62.500000,63.389999,62.731831,8686400
2023-03-27,63.490002,67.080002,63.230000,66.669998,65.977776,5612600
2023-04-03,66.599998,68.690002,66.080002,68.489998,67.778877,3976100
2023-04-10,67.769997,70.519997,67.500000,70.430000,69.698738,5464200
2023-04-17,68.739998,71.300003,68.059998,70.889999,70.153961,8669200
2023-04-24,70.889999,71.190002,69.010002,69.800003,69.075279,7043200
2023-05-01,69.510002,71.010002,65.720001,67.019997,66.324142,10924300
2023-05-08,67.959999,68.900002,65.739998,67.949997,67.244484,11372900
2023-05-15,67.800003,68.480003,66.449997,66.489998,66.489998,7473900
2023-05-22,66.440002,66.900002,64.309998,64.809998,64.809998,9356900
2023-05-29,65.070000,65.660004,63.770000,65.480003,65.480003,8573300
2023-06-05,65.169998,65.989998,64.239998,65.650002,65.650002,5098600
